versione, run, tempo
0, 0, 2.81
0, 1, 3.04
0, 2, 3.10
0, 3, 2.48
0, 4, 3.33
1, 0, 0.15
1, 1, 0.14
1, 2, 0.13
1, 3, 0.17
1, 4, 0.19
